id,s.fisher.age,f.name,year,cpue_fisher,cpue_sci,time,type,cpue_diff_per
927,30,Norte_linha,2008,800,75.04555301,10,good,1066.019195
895,30,Norte_armadilha,2008,200,205.8016791,10,good,97.18093695
785,32,Norte_rede,2002,200,118.4338849,16,good,168.8705898
884,35,Norte_linha,2005,30,58.42105218,13,good,51.35135175
813,35,Norte_linha,2001,150,56.94697279,17,good,263.402939
899,36,Norte_rede,2001,100,118.5861059,17,good,84.32691102
867,37,Norte_armadilha,2001,400,332.5592389,17,good,120.2793227
915,61,Norte_tarrafa,2008,11,62.06879463,10,good,17.72227101
899,36,Norte_rede,2006,100,117.8250011,12,good,84.87163086
883,43,RN_leste_rede,2009,44.44444444,53.70228331,9,good,82.76080961
909,46,Norte_tarrafa,2010,10,67.08330561,8,good,14.90683846
845,47,Norte_rede,2011,100,117.0638964,7,good,85.42343376
818,47,Norte_rede,2011,50,117.0638964,7,good,42.71171688
836,49,Norte_rede,2010,30,117.2161173,8,good,25.59374998
896,50,Norte_tarrafa,2010,10,67.08330561,8,good,14.90683846
888,51,Norte_rede,2009,30,117.3683383,9,good,25.56055614
926,52,Norte_linha,2010,300,79.22124989,8,good,378.6862747
891,52,Norte_linha,2003,17,57.31912871,15,good,29.65851084
886,52,Norte_linha,2009,30,78.34813458,9,good,38.29063724
912,54,Norte_rede,2009,15,117.3683383,9,good,12.78027807
893,54,Norte_rede,2001,66.66666667,118.5861059,17,good,56.21794068
871,54,Norte_linha,2010,33.33333333,79.22124989,8,good,42.07625275
844,54,Norte_rede,2011,100,117.0638964,7,good,85.42343376
824,54,Norte_rede,2011,50,117.0638964,7,good,42.71171688
799,55,Norte_rede,2011,70,117.0638964,7,good,59.79640363
778,55,Natal_linha,2009,20,50.39079609,9,good,39.68978772
792,56,Norte_rede,2009,40,117.3683383,9,good,34.08074152
817,57,Norte_rede,2009,12,117.3683383,9,good,10.22422246
870,60,Norte_armadilha,2010,220,169.5852335,8,good,129.7282761
834,60,Norte_rede,2009,80,117.3683383,9,good,68.16148304
832,60,Norte_rede,2009,75,117.3683383,9,good,63.90139035
866,61,Norte_linha,2010,66.66666667,79.22124989,8,good,84.15250549
833,61,Norte_linha,2006,100,62.86208005,12,good,159.0784141
795,61,Norte_armadilha,2010,70,169.5852335,8,good,41.27717877
881,63,Norte_rede,2009,27.27272727,117.3683383,9,good,23.23686922
797,63,Norte_cerco,2005,75,149.5808873,13,good,50.14009567
911,65,Norte_rede,2009,20,117.3683383,9,good,17.04037076
800,65,Norte_linha,2007,55,69.25188317,11,good,79.42022293
802,67,Norte_rede,2007,62.5,117.6727802,11,good,53.11338773
882,68,Norte_linha,2003,50,57.31912871,15,good,87.23091423
821,73,Norte_linha,2006,150,62.86208005,12,good,238.6176211
775,74,Natal_linha,2005,75,49.83582247,13,good,150.4941552
885,77,Norte_rede,2002,6.666666667,118.4338849,16,good,5.629019661
925,82,Norte_linha,2005,30,58.42105218,13,good,51.35135175
890,82,Norte_linha,2004,20,56.96287874,14,good,35.11058507
247,40,cananeia_emalhe_pescada,2006,33.33333333,106.0416667,12,bad,31.43418467
342,20,santos_parelha_cam7b,2006,3,269.2834824,12,bad,1.114067589
382,22,ubatuba_emalhe_tainha,2006,2,36.30737288,12,bad,5.508523039
68,24,RG_emalhe,2008,500,1857.133855,10,bad,26.92320743
344,26,santos_parelha_cam7b,2005,200,272.6559367,13,bad,73.35251982
211,26,santos_parelha_cam7b,2010,100,253.1843086,8,bad,39.49691849
396,27,ubatuba_emalhe_tainha,2004,2,37.65771186,14,bad,5.31099714
390,27,ubatuba_parelha_cam7b,2002,7,40.80573333,16,bad,17.15445215
278,27,cananeia_emalhe_pescada,2008,100,110.8937646,10,bad,90.17639572
249,27,cananeia_parelha_cam7b,2010,10,177.2613636,8,bad,5.64138727
204,27,santos_parelha_cam7b,2007,600,265.63872,11,bad,225.8706863
26,27,RG_parelha,2012,2666.666667,5078.879627,6,bad,52.50501808
910,28,Norte_tarrafa,2009,3,64.57605012,9,bad,4.645685195
444,28,ubatuba_camrosa,2008,2,25.16995865,10,bad,7.945980475
308,28,cananeia_camrosa,2017,5.555555556,39.13833667,1,bad,14.19466443
922,29,Norte_linha,2006,5,62.86208005,12,bad,7.953920704
208,29,santos_parelha_cam7b,2008,2,261.7314467,10,bad,0.764142034
927,30,Norte_rede,2003,20,118.281664,15,bad,16.90879154
895,30,Norte_armadilha,2008,100,205.8016791,10,bad,48.59046847
410,30,ubatuba_emalhe_corvina,2014,1,138.9212658,4,bad,0.719832197
255,30,cananeia_emalhe_pescada,2007,333.3333333,108.4677156,11,bad,307.3111031
209,30,santos_parelha_cam7b,2005,71.42857143,272.6559367,13,bad,26.19732851
921,31,Norte_rede,2005,2,117.9772221,13,bad,1.695242492
349,31,santos_camrosa,2010,1000,56.0370485,8,bad,1784.533673
230,31,cananeia_emalhe_pescada,2002,20,96.33747087,16,bad,20.76035401
214,31,santos_parelha_cam7b,2010,100,253.1843086,8,bad,39.49691849
785,32,Norte_rede,2002,20,118.4338849,16,bad,16.88705898
423,32,ubatuba_camrosa,2005,10,25.12844332,13,bad,39.79554114
381,32,ubatuba_parelha_cam7b,2004,100,40.5868,14,bad,246.3855244
355,32,santos_parelha_cam7b,2002,10,281.0537315,16,bad,3.55803851
264,32,cananeia_parelha_cam7b,2004,10,216.9568182,14,bad,4.609212139
